nconst,actor,primaryName,actress,knownForTitles,director,tconst,titleType,originalTitle,startYear,Drama,Comedy,Romance,Thriller,genres,job
nm0208376,0,Rina De Filippo,1,tt0061994,0,tt0061994,movie,La morte ha fatto l'uovo,1968,0,0,0,1,Thriller,actress
nm0872716,0,Ludmil Trifonof,1,tt0061994,0,tt0061994,movie,La morte ha fatto l'uovo,1968,0,0,0,1,Thriller,actress
nm0209704,1,Del De Lewis,0,tt0004063,0,tt0004063,movie,Hearts of Oak,1914,1,0,0,0,Drama,actor
nm0829741,1,Ralph Stewart,0,tt0004063,0,tt0004063,movie,Hearts of Oak,1914,1,0,0,0,Drama,actor
nm0209788,0,June De Lisle,1,tt0008882,0,tt0008882,movie,Betty Takes a Hand,1918,0,1,0,0,Comedy,actress
nm0210216,0,Shirley De Me,1,tt0004990,0,tt0004990,movie,Bondwomen,1915,1,0,0,0,Drama,actress
nm0210351,0,Cecilia de Mille,1,tt0004792,0,tt0004792,movie,What's His Name,1914,0,1,0,0,Comedy,actress
nm0210984,0,Erika De Planque,1,tt0003015,0,tt0003015,movie,Die Insel der Seligen,1913,0,1,0,0,Comedy,actress
nm0352399,0,Gertrud Hackelberg,1,tt0003015,0,tt0003015,movie,Die Insel der Seligen,1913,0,1,0,0,Comedy,actress
nm0441259,1,Arthur Kathane,0,tt0003015,0,tt0003015,movie,Die Insel der Seligen,1913,0,1,0,0,Comedy,actor
nm0521575,1,Werner Lotz,0,tt0003015,0,tt0003015,movie,Die Insel der Seligen,1913,0,1,0,0,Comedy,actor
nm0211245,1,Gepi De Rosa,0,tt0060762,0,tt0060762,movie,Le notti della violenza,1965,0,0,0,1,Thriller,actor
nm0211563,1,Fred De Shon,0,tt0008335,0,tt0008335,movie,The Clever Mrs. Carfax,1917,0,1,0,0,Comedy,actor
nm0211954,1,Noi de Tona,0,tt0007663,0,tt0007663,movie,Aventuras del Noi de Tona,1917,0,1,0,0,Comedy,actor
nm0212049,1,Juan Carlos de Vasquez,0,tt0116294,0,tt0116294,movie,Femalien,1996,0,0,1,0,Romance,actor
nm0795580,1,Matt Shue,0,tt0116294,0,tt0116294,movie,Femalien,1996,0,0,1,0,Romance,actor
nm0212723,1,Byron Dean,0,tt0007743,0,tt0007743,movie,The Boy Girl,1917,0,1,0,0,Comedy,actor
nm0213288,0,Ada Deaves,1,tt0007060,0,tt0007060,movie,Mice and Men,1916,0,0,1,0,Romance,actress
nm0215070,0,Barbara Peil,1,tt0073764,0,tt0073764,movie,Summer School Teachers,1975,0,0,1,0,Romance,actress
nm0257997,1,Brian Enright,0,tt0073764,0,tt0073764,movie,Summer School Teachers,1975,0,0,1,0,Romance,actor
nm0216042,1,Jiri Del,0,tt0107677,0,tt0107677,movie,Nexus 2.431,1994,0,0,1,0,Romance,actor
nm0500135,0,Martina Leierova,1,tt0107677,0,tt0107677,movie,Nexus 2.431,1994,0,0,1,0,Romance,actress
nm0799275,1,Miloslav Simacek,0,tt0107677,0,tt0107677,movie,Nexus 2.431,1994,0,0,1,0,Romance,actor
nm0900764,1,Jiri Vodak,0,tt0107677,0,tt0107677,movie,Nexus 2.431,1994,0,0,1,0,Romance,actor
